ID,Supplier name,Document Date,Document Type,Total with Tax,Currency of Document,Paid,Entry Code
1059685,"ליסקאר רם בע""מ",11/07/2018,INVOICE,122.85,ILS,,"מע""מ 0%"
1059688,"ליסקאר רם בע""מ",19/07/2018,INVOICE,2567.55,ILS,Unknown,"מע""מ 0%"
1059691,"ליסקאר רם בע""מ",10/07/2018,INVOICE,1712.8,ILS,,"מע""מ 0%"
1059692,"לב המשרד בע""מ",31/07/2018,INVOICE,1470.95,ILS,Unknown,"חס - מע""מ מלא"
1059697,"ליסקאר רם בע""מ",22/07/2018,INVOICE,9.96,ILS,,"מע""מ 0%"
1059698,"מיטב ניקיון ואחזקה בע""מ",05/07/2018,INVOICE,1640.6,ILS,,"חס - מע""מ מלא"
1059699,"ליסקאר רם בע""מ",22/07/2018,INVOICE,49.14,ILS,,"מע""מ 0%"
1059700,"לסה ויז'ן בע""מ",29/07/2018,INVOICE,1556,ILS,,"חס - מע""מ מלא"
1059707,"מי אביבים 2010 בע""מ",29/07/2018,INVOICE,238.11,ILS,Paid,"חס - מע""מ מלא"
1059708,"מיטב ניקיון ואחזקה בע""מ",05/07/2018,INVOICE,5279.3,ILS,,"חס - מע""מ מלא"
1059709,"וויסנטר בע""מ",21/07/2018,INVOICE,490.37,ILS,,"חס - 2/3 מע""מ"
1059712,"מורנקס בע""מ",26/07/2018,INVOICE,1406,ILS,,"חס - מע""מ מלא"
1059713,סורטקס פתרונות אינטרנט מתקדמים ,31/07/2018,INVOICE,792.53,ILS,,"חס - מע""מ מלא"
1059714,סייל פי סי,12/07/2018,INVOICE,3620,ILS,Paid,"חס - מע""מ מלא - תשומות ציוד"
1059715,"מיננה בע""מ",17/07/2018,INVOICE,350,ILS,Paid,"מע""מ 0%"
1059721,"מודולו מערכות תקשורת בע""מ",18/06/2018,INVOICE,796,ILS,,"חס - מע""מ מלא - תשומות ציוד"
1059722,"פנגו פיי אנד גו בע""מ",26/07/2018,RECEIPT,25.77,ILS,,"חס - מע""מ מלא"
1059723,"ש.מ עתיד הנדסת תוכנה בע""מ",31/07/2018,INVOICE,3212,ILS,,"חס - מע""מ מלא"
1059727,"מי אביבים 2010 בע""מ",28/05/2018,INVOICE,184.28,ILS,Paid,פ
1059728,"רי-גו מרקטינג בע""מ",01/07/2018,INVOICE,4095,ILS,Paid,"חס - מע""מ מלא"
1059729,"ממסרית השקעות ופיננסים בע""מ",10/07/2018,INVOICE,7605,ILS,,"חס - מע""מ מלא"
1059730,"פנגו פיי אנד גו בע""מ",02/07/2018,RECEIPT,21,ILS,,"חס - מע""מ מלא"
1059731,"מהלב המרכז הישראלי לנגישות בתקשורת בע""מ",19/07/2018,INVOICE,6552,ILS,,"חס - מע""מ מלא"
1059737," סלקום ישראל בע""מ",02/07/2018,INVOICE,107.01,ILS,Unknown,"חס - 2/3 מע""מ"
1059738,"ממסרית השקעות ופיננסים בע""מ",24/07/2018,INVOICE,1078.34,ILS,,"חס - מע""מ מלא"
1059739,סייל פי סי,08/07/2018,INVOICE,1980,ILS,Paid,"חס - מע""מ מלא - תשומות ציוד"
1059741,"עו""דכנית בע""מ",02/07/2018,INVOICE,320.29,ILS,Unknown,"חס - מע""מ מלא"
1059747,"תדלק וסע שיווק דלקים בע""מ",12/07/2018,INVOICE,678.3,ILS,Paid,"חס - 1/4 מע""מ"
1059748,"תדלק וסע שיווק דלקים בע""מ",09/07/2018,INVOICE,1280.56,ILS,Paid,"חס - 1/4 מע""מ"
1059749,Credimatch Software Ltd,25/07/2018,RECEIPT,468,ILS,,"חס - מע""מ מלא"
1059752,"וויסנטר בע""מ",19/07/2018,INVOICE,118.09,ILS,Unknown,"חס - 2/3 מע""מ"
